,Name,exc.time,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall
0,Control_0,81.59375,0.2681068444289697,122,0.7123893805309734,0.9755030621172354,0.8361884368308351,0.9372093023255814,0.8503054989816701,0.7703703703703704,0.9427027027027027,0.8810198300283286,0.7517241379310344,0.8488120950323974,0.972809667673716,0.9662045060658578,0.8326226012793176,0.7720306513409961,0.8652849740932642,0.7982456140350878,0.9111807732497388,0.9120234604105572,0.6687116564417178,0.7586872586872587
1,Control_1,77.796875,0.13245505793944962,117,0.9446122860020141,0.971954425942156,0.8736501079913607,0.8725182863113897,0.9159763313609467,0.8173076923076923,0.9279093717816684,0.9178082191780822,0.7264231096006797,0.8333333333333334,0.9446122860020141,0.9610051993067591,0.8624733475479744,0.7998084291187739,0.8020725388601037,0.8388157894736842,0.9414838035527691,0.916911045943304,0.8742331288343558,0.8301158301158301
2,Control_2,104.34375,0.6340704625322109,157,0.9652777777777778,0.970216606498195,0.3069544364508393,0.2996951219512195,0.8984547461368654,0.6462715105162524,0.9175757575757576,0.9423459244532804,0.15384615384615385,0.830622009569378,0.8398791540785498,0.9315424610051993,0.13646055437100213,0.9415708812260536,0.8435233160621761,0.3706140350877193,0.7910135841170324,0.9266862170087976,0.00408997955010225,0.8378378378378378
3,Control_3,73.90625,0.14190117633023047,112,0.9590583418628454,0.9629948364888123,0.8836206896551724,0.9308855291576674,0.9094781682641108,0.9389952153110048,0.9064089521871821,0.94831013916501,0.7201336675020885,0.858508604206501,0.9436052366565961,0.9696707105719238,0.8742004264392325,0.8256704980842912,0.8849740932642487,0.8607456140350878,0.9310344827586207,0.9325513196480938,0.8813905930470347,0.8667953667953668
4,Control_4,57.171875,0.18083659721773596,86,0.9126016260162602,0.9696180555555556,0.9120370370370371,0.8013698630136986,0.925700365408039,0.9156293222683264,0.9086134453781513,0.939918533604888,0.7103040540540541,0.7829059829059829,0.904330312185297,0.9679376083188909,0.8400852878464818,0.896551724137931,0.7875647668393783,0.7258771929824561,0.9038662486938349,0.9022482893450635,0.8599182004089979,0.8841698841698842
5,Control_5,66.65625,0.17515638525502317,102,0.960427807486631,0.9671848013816926,0.8557894736842105,0.9150401836969001,0.9410430839002267,0.8930957683741648,0.9151515151515152,0.9215086646279307,0.7732506643046945,0.7504145936981758,0.904330312185297,0.9705372616984402,0.8667377398720683,0.7634099616858238,0.8601036269430051,0.8793859649122807,0.9467084639498433,0.8836754643206256,0.8926380368098159,0.8735521235521235
6,Control_6,96.96875,0.14524890928879813,145,0.9685863874345549,0.9595176571920758,0.9029680365296804,0.9163223140495868,0.9276315789473685,0.9382422802850356,0.9112487100103199,0.9391480730223124,0.679144385026738,0.8737769080234834,0.9315206445115811,0.9653379549393414,0.8432835820895522,0.8496168582375478,0.8766839378238342,0.8662280701754386,0.922675026123302,0.9051808406647116,0.908997955010225,0.861969111969112
7,Control_7,87.484375,0.5163848598159881,131,0.9344758064516129,0.9572052401746725,0.9224343675417661,0.8755060728744939,0.4222222222222222,0.8478513356562137,0.9059561128526645,0.9634015069967707,0.43842364532019706,0.322655989322656,0.9335347432024169,0.949740034662045,0.82409381663113,0.828544061302682,0.039378238341968914,0.8004385964912281,0.9059561128526645,0.8748778103616813,0.09100204498977506,0.9333976833976834
8,Control_8,56.59375,0.2035634734282901,84,0.9498977505112475,0.9558573853989814,0.8544652701212789,0.8155339805825242,0.9338747099767981,0.900398406374502,0.9393282773564464,0.942366026289181,0.6507462686567164,0.8576923076923076,0.9355488418932527,0.975736568457539,0.826226012793177,0.8045977011494253,0.8341968911917098,0.743421052631579,0.9059561128526645,0.9110459433040078,0.8916155419222904,0.861003861003861
9,Control_9,57.3125,0.23839540665330683,85,0.898019801980198,0.9769911504424779,0.8496732026143791,0.8677083333333333,0.7979591836734694,0.9071428571428571,0.9480225988700565,0.8130360205831904,0.5884892086330935,0.8583042973286876,0.9133937562940584,0.9566724436741768,0.8315565031982942,0.7978927203065134,0.8103626943005181,0.6962719298245614,0.8766980146290491,0.9266862170087976,0.83640081799591,0.7133204633204633
